"barcode"	"id.x"	"replica"	"sampling"	"hedgehog"	"hedgehog_precision"	"completeness"	"depth"	"id.y"	"seq"	"method"
"barcode01"	"barcode01_dir_5_out_samp_9500"	5	9500	"BA.1.17.2"	"BA.1.17.2"	55.1717557251908	100.017	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_5_out_samp_3500"	5	3500	"BA.1.17.2"	"BA.1.17.2"	55.1717557251908	100.017	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_3_out_samp_500"	3	500	"A"	"A_1"	31.793893129771	18.6007	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_5_out_samp_4500"	5	4500	"BA.1.17.2"	"BA.1.17.2"	55.1717557251908	100.017	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_5_out_samp_3000"	5	3000	"BA.1.17.2"	"BA.1.17.2"	55.1717557251908	88.7644	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_5_out_samp_4000"	5	4000	"BA.1.17.2"	"BA.1.17.2"	55.1717557251908	100.017	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_1_out_samp_9000"	1	9000	"BA.1.17.2"	"BA.1.17.2"	55.1717557251908	100.017	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_3_out_samp_8500"	3	8500	"BA.1.17.2"	"BA.1.17.2"	55.1717557251908	100.017	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_1_out_samp_7500"	1	7500	"BA.1.17.2"	"BA.1.17.2"	55.1717557251908	100.017	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_1_out_samp_8500"	1	8500	"BA.1.17.2"	"BA.1.17.2"	55.1717557251908	100.017	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_1_out_samp_3000"	1	3000	"BA.1.17.2"	"BA.1.17.2"	55.1717557251908	90.0459	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_1_out_samp_3500"	1	3500	"BA.1.17.2"	"BA.1.17.2"	55.1717557251908	100.017	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_1_out_samp_4000"	1	4000	"BA.1.17.2"	"BA.1.17.2"	55.1717557251908	100.017	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_1_out_samp_8000"	1	8000	"BA.1.17.2"	"BA.1.17.2"	55.1717557251908	100.017	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_3_out_samp_5000"	3	5000	"BA.1.17.2"	"BA.1.17.2"	55.1717557251908	100.017	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_5_out_samp_6500"	5	6500	"BA.1.17.2"	"BA.1.17.2"	55.1717557251908	100.017	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_5_out_samp_7000"	5	7000	"BA.1.17.2"	"BA.1.17.2"	55.1717557251908	100.017	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_5_out_samp_500"	5	500	"A"	"A_1"	31.7557251908397	20.7863	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_5_out_samp_8000"	5	8000	"BA.1.17.2"	"BA.1.17.2"	55.1717557251908	100.017	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_5_out_samp_9000"	5	9000	"BA.1.17.2"	"BA.1.17.2"	55.1717557251908	100.017	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_3_out_samp_8000"	3	8000	"BA.1.17.2"	"BA.1.17.2"	55.1717557251908	100.017	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_1_out_samp_1500"	1	1500	"A"	"A_1"	44.0458015267176	47.8211	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_1_out_samp_7000"	1	7000	"BA.1.17.2"	"BA.1.17.2"	55.1717557251908	100.017	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_1_out_samp_2500"	1	2500	"BA.1.17.2"	"BA.1.17.2"	55.1717557251908	77.038	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_3_out_samp_9000"	3	9000	"BA.1.17.2"	"BA.1.17.2"	55.1717557251908	100.017	"CUY42-007286"	"omicron"	"fast-S"
"barcode01"	"barcode01_dir_3_out_samp_9500"	3	9500	"BA.1.17.2"	"BA.1.17.2"	55.1717557251908	100.017	"CUY42-007286"	"omicron"	"fast-S"
