barcode	id.x	replica	sampling	hedgehog	hedgehog_precision	completeness	depth	id.y	seq	method
barcode22	barcode22_dir_5_out_samp_2000	5	2000	B.1.617.2	B.1.617.2_2	83.2251908396946	188.774	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_5_out_samp_2500	5	2500	B.1.617.2	B.1.617.2_2	83.263358778626	221.439	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_2_out_samp_9000	2	9000	B.1.617.2	B.1.617.2_2	88.263358778626	390.766	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_4_out_samp_9000	4	9000	B.1.617.2	B.1.617.2_2	87.824427480916	392.274	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_4_out_samp_6500	4	6500	B.1.617.2	B.1.617.2_2	87.824427480916	362.56	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_3_out_samp_3500	3	3500	B.1.617.2	B.1.617.2_2	83.4732824427481	269.874	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_3_out_samp_3000	3	3000	A	A_11	83.263358778626	246.302	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_4_out_samp_6000	4	6000	B.1.617.2	B.1.617.2_2	87.824427480916	352.932	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_2_out_samp_8000	2	8000	B.1.617.2	B.1.617.2_2	88.263358778626	380.696	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_2_out_samp_9500	2	9500	B.1.617.2	B.1.617.2_2	88.2824427480916	395.15	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_3_out_samp_4500	3	4500	B.1.617.2	B.1.617.2_2	87.824427480916	307.457	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_2_out_samp_8500	2	8500	B.1.617.2	B.1.617.2_2	88.263358778626	386.115	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_3_out_samp_2000	3	2000	B.1.617.2	B.1.617.2_2	83.4160305343512	188.724	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_3_out_samp_4000	3	4000	B.1.617.2	B.1.617.2_2	87.7671755725191	287.969	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_5_out_samp_10000	5	10000	B.1.617.2	B.1.617.2_2	88.2442748091603	402.604	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_3_out_samp_2500	3	2500	B.1.617.2	B.1.617.2_2	83.4160305343512	220.82	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_5_out_samp_1500	5	1500	B.1.617.2	B.1.617.2_2	83.263358778626	157.856	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_1_out_samp_1000	1	1000	B.1.617.2	B.1.617.2_2	66.793893129771	108.846	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_1_out_samp_10000	1	10000	B.1.617.2	B.1.617.2_2	87.6717557251908	403.182	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_2_out_samp_6500	2	6500	B.1.617.2	B.1.617.2_2	87.824427480916	358.747	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_2_out_samp_7000	2	7000	B.1.617.2	B.1.617.2_2	87.824427480916	367.129	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_2_out_samp_7500	2	7500	B.1.617.2	B.1.617.2_2	88.0725190839695	374.248	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_3_out_samp_1000	3	1000	B.1.617.2	B.1.617.2_2	66.7557251908397	113.999	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_3_out_samp_10000	3	10000	B.1.617.2	B.1.617.2_2	88.263358778626	407.154	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_3_out_samp_1500	3	1500	B.1.617.2	B.1.617.2_2	67.1374045801527	152.441	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_4_out_samp_9500	4	9500	B.1.617.2	B.1.617.2_2	88.1488549618321	398.236	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_5_out_samp_1000	5	1000	B.1.617.2	B.1.617.2_2	83.0725190839695	114.033	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_3_out_samp_7000	3	7000	B.1.617.2	B.1.617.2_2	88.0725190839695	367.7	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_3_out_samp_7500	3	7500	B.1.617.2	B.1.617.2_2	88.206106870229	375.272	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_4_out_samp_5500	4	5500	B.1.617.2	B.1.617.2_2	87.824427480916	342.767	CUY17-003901	omicron	Std-S
barcode22	barcode22_dir_2_out_samp_5000	2	5000	B.1.617.2	B.1.617.2_2	87.824427480916	326.899	CUY17-003901	omicron	Std-S
