accession	genome_lineage	hedgehog_set_hash	hedgehog_precision	id	pct
EPI_ISL_10001512	BA.2	BA.2	BA.2_1	QEUH-3632394|EPI_ISL_10001512|United Kingdom|BA.2|2022-02-08	99.8091967181836
EPI_ISL_10002547	BA.1.17.2	BA.1.17.2	BA.1.17.2	SG-CLM-02074563|EPI_ISL_10002547|Switzerland|BA.1.17.2|2022-02-07	99.6374737645487
EPI_ISL_10002861	BA.2	BA.2	BA.2_1	QEUH-36232D5|EPI_ISL_10002861|United Kingdom|BA.2|2022-02-09	99.8091967181836
EPI_ISL_10003971	BA.1.1.15	BA.1.1	BA.1.1_3	QEUH-3641ECE|EPI_ISL_10003971|United Kingdom|BA.1.1.15|2022-02-09	99.6374737645487
EPI_ISL_10004833	BA.1.18	BA.1	BA.1_3	PAC-CERBAHC-01834581|EPI_ISL_10004833|France|BA.1.18|2022-01-24	96.6227819118489
EPI_ISL_10005917	BA.1	BA.1.1	BA.1.1_3	RP-RKI-I-517514|EPI_ISL_10005917|Germany|BA.1|2022-02-01	89.8683457355467
EPI_ISL_10006551	BA.1.1	BA.1.1	BA.1.1_3	NW-RKI-I-518084|EPI_ISL_10006551|Germany|BA.1.1|2022-01-25	99.5802327800038
EPI_ISL_10006646	BA.1.1	BA.1.15	BA.1.15	NW-RKI-I-518188|EPI_ISL_10006646|Germany|BA.1.1|2022-01-25	87.9221522610189
EPI_ISL_10007413	BA.1.17	BA.1	BA.1_4	BB-RKI-I-520276|EPI_ISL_10007413|Germany|BA.1.17|2022-01-31	99.6374737645487
EPI_ISL_10008696	BA.1.18	BA.1.15	BA.1.15	BW-RKI-I-521048|EPI_ISL_10008696|Germany|BA.1.18|2022-01-28	84.2014882655982
EPI_ISL_10013280	XG	BA.2	BA.2_1	DCGC-369198|EPI_ISL_10013280|Denmark|XG|2022-02-05	99.8091967181836
EPI_ISL_10014423	BA.2.9	BA.2	BA.2_1	DCGC-369547|EPI_ISL_10014423|Denmark|BA.2.9|2022-02-09	99.7901163900019
EPI_ISL_10015893	BA.1.1	BA.1	BA.1_4	Jessa_11-2207-001449|EPI_ISL_10015893|Belgium|BA.1.1|2022-02-14	97.3096737263881
EPI_ISL_10018470	BA.2	BA.2	BA.2_1	NW-RKI-I-526185|EPI_ISL_10018470|Germany|BA.2|2022-02-03	99.8091967181836
EPI_ISL_10018834	BA.2	A	A_14	HE-RKI-I-526345|EPI_ISL_10018834|Germany|BA.2|2022-01-27	97.9965655409273
